"Version","IL","Native"
"2026.05.30","359","2985"
"2026.05.31","359","3632"
"2026.06.01","359","4568"
"2026.06.03","130","3837"
"2026.06.04","130","3524"
"2026.06.05","130","3508"
"2026.06.07","130","3801"
"2026.06.07b","130","3987"
"2026.06.08","130","3949"
"2026.06.09","130","3895"
"2026.06.09b","130","3860"
"2026.06.09c","130","3860"
"2026.06.09d","130","3860"
"2026.06.09e","130","3860"
"2026.06.11","130","3807"
"2026.06.12","130","5381"
"2026.06.18","130","5579"
"2026.06.19","136","5314"
